iter	Passed	Remaining
0	92	36952
1	111	22205
2	117	15594
3	124	12315
4	142	11282
5	145	9581
6	151	8531
7	158	7775
8	165	7195
9	171	6684
10	177	6289
11	184	5969
12	191	5703
13	197	5455
14	203	5233
15	208	5008
16	219	4933
17	227	4828
18	234	4697
19	240	4577
20	247	4471
21	254	4372
22	265	4350
23	274	4294
24	280	4200
25	285	4113
26	292	4034
27	301	4002
28	306	3917
29	313	3871
30	321	3830
31	332	3818
32	338	3769
33	346	3733
34	355	3703
35	365	3697
36	372	3651
37	379	3614
38	387	3589
39	394	3554
40	400	3510
41	406	3465
42	410	3410
43	416	3370
44	423	3337
45	426	3285
46	434	3264
47	440	3233
48	447	3206
49	453	3172
50	459	3143
51	465	3116
52	471	3086
53	480	3077
54	488	3066
55	495	3045
56	502	3024
57	511	3014
58	520	3006
59	529	2998
60	533	2967
61	539	2943
62	547	2929
63	553	2906
64	562	2899
65	569	2882
66	575	2861
67	580	2834
68	584	2802
69	597	2815
70	610	2828
71	621	2831
72	628	2817
73	634	2797
74	637	2764
75	644	2749
76	650	2727
77	657	2712
78	663	2696
79	669	2678
80	677	2667
81	681	2642
82	683	2611
83	689	2593
84	695	2576
85	701	2560
86	707	2546
87	713	2531
88	719	2514
89	725	2500
90	731	2484
91	737	2467
92	742	2452
93	747	2433
94	753	2418
95	761	2412
96	768	2399
97	773	2384
98	779	2370
99	786	2358
100	792	2345
101	800	2337
102	805	2323
103	811	2309
104	816	2294
105	822	2280
106	828	2267
107	833	2254
108	839	2240
109	845	2229
110	852	2218
111	857	2205
112	863	2192
113	869	2181
114	875	2168
115	881	2157
116	886	2144
117	891	2131
118	897	2118
119	903	2108
120	910	2098
121	915	2087
122	921	2076
123	927	2065
124	933	2054
125	939	2043
126	945	2031
127	950	2019
128	956	2008
129	961	1997
130	966	1985
131	973	1975
132	979	1966
133	986	1957
134	991	1946
135	997	1937
136	1004	1928
137	1009	1917
138	1017	1910
139	1022	1899
140	1028	1889
141	1034	1879
142	1040	1870
143	1050	1867
144	1055	1856
145	1061	1847
146	1069	1840
147	1075	1830
148	1080	1820
149	1087	1811
150	1094	1804
151	1100	1794
152	1106	1786
153	1111	1776
154	1118	1767
155	1126	1761
156	1133	1754
157	1141	1748
158	1147	1739
159	1160	1741
160	1171	1739
161	1178	1731
162	1187	1726
163	1193	1717
164	1201	1710
165	1211	1707
166	1220	1702
167	1228	1696
168	1236	1689
169	1244	1683
170	1252	1676
171	1260	1671
172	1274	1672
173	1283	1667
174	1292	1662
